# !  MKO filter system                                                                                                                                                                                    



#   t (Gyr) =  0.001
#---------------------------------------------------------------------------------------------------------------------------

age_Gyr  M_Msun   Teff(K)   L/Ls  lg(g)   R(Gm)   D      Li            J             H            Ks        Lprime             M'          
0.004  0.8500  3773.   -0.31   3.93  11.49  0.0000  0.9680         3.808         3.087         2.892         2.743         2.844  
0.004  0.9000  3806.   -0.28   3.94  11.67  0.0000  0.9660         3.747         3.025         2.834         2.694         2.798  
0.004  0.9500  3841.   -0.23   3.93  12.11  0.0000  0.9730         3.637         2.914         2.729         2.598         2.705  
0.004  1.0000  3878.   -0.21   3.94  12.28  0.0000  0.9750         3.575         2.853         2.673         2.550         2.660  
0.004  1.0500  3928.   -0.16   3.94  12.66  0.0000  0.9800         3.467         2.747         2.575         2.463         2.577  
0.004  1.1000  4014.   -0.11   3.95  12.81  0.0000  0.9810         3.369         2.659         2.500         2.403         2.525  
0.004  1.1500  4057.   -0.08   3.96  12.99  0.0000  0.9820         3.302         2.600         2.447         2.356         2.478  
0.004  1.2000  4098.   -0.04   3.96  13.23  0.0000  0.9840         3.227         2.533         2.385         2.300         2.422  
0.004  1.3000  4180.    0.02   3.97  13.67  0.0000  0.9890         3.099         2.407         2.272         2.205         2.333  
0.004  1.4000  4260.    0.08   3.96  14.22  0.0000  0.9930         2.954         2.284         2.157         2.095         2.222  
0.005  0.0030  1098.   -4.55   3.58   1.03  1.0000  1.0000        16.176        14.508        13.140        11.211        11.043  
0.005  0.0040  1263.   -4.28   3.68   1.06  1.0000  1.0000        15.010        13.536        12.356        10.586        10.634  
0.005  0.0050  1413.   -4.06   3.75   1.09  1.0000  1.0000        13.995        12.691        11.603        10.078        10.247  
0.005  0.0060  1543.   -3.89   3.80   1.12  1.0000  1.0000        12.915        12.004        11.137         9.873         9.998  
0.005  0.0070  1668.   -3.73   3.84   1.15  1.0000  1.0000        12.288        11.573        10.781         9.678         9.655  
0.005  0.0080  1786.   -3.58   3.87   1.19  1.0000  1.0000        11.636        11.038        10.376         9.398         9.541  
0.005  0.0090  1885.   -3.46   3.90   1.23  1.0000  1.0000        11.273        10.729        10.112         9.199         9.389  
0.005  0.0100  1965.   -3.36   3.92   1.26  1.0000  1.0000        10.970        10.391         9.792         8.945         9.054  
0.005  0.0120  2102.   -3.19   3.95   1.34  0.9950  1.0000        10.601        10.007         9.439         8.660         8.749  
0.005  0.0150  2264.   -2.98   3.96   1.48  0.9750  1.0000         9.998         9.501         9.000         8.313         8.409  
0.005  0.0200  2452.   -2.66   3.90   1.82  0.8200  1.0000         9.228         8.758         8.302         7.696         7.739  
0.005  0.0300  2616.   -2.26   3.79   2.53  0.4180  1.0000         8.297         7.814         7.380         6.838         6.849  
0.005  0.0400  2754.   -2.07   3.81   2.85  0.0249  1.0000         7.860         7.361         6.961         6.465         6.464  
0.005  0.0500  2806.   -1.85   3.72   3.55  0.0570  1.0000         7.325         6.822         6.432         5.954         5.947  
0.005  0.0600  2875.   -1.90   3.90   3.17  0.0000  1.0000         7.475         6.957         6.591         6.139         6.136  
0.005  0.0700  2916.   -1.83   3.92   3.35  0.0000  1.0000         7.304         6.780         6.424         5.986         5.984  
0.005  0.0720  2921.   -1.81   3.92   3.40  0.0000  1.0000         7.269         6.743         6.389         5.953         5.951  
0.005  0.0750  2912.   -1.72   3.83   3.83  0.0000  1.0000         7.022         6.498         6.141         5.702         5.698  
0.005  0.0800  2946.   -1.76   3.92   3.55  0.0000  1.0000         7.144         6.613         6.266         5.837         5.836  
0.005  0.0900  2974.   -1.70   3.93   3.76  0.0000  1.0000         6.991         6.456         6.115         5.697         5.697  
0.005  0.1000  2983.   -1.58   3.86   4.26  0.0000  1.0000         6.709         6.171         5.833         5.419         5.419  
0.005  0.1100  3094.   -1.59   3.97   3.93  0.0000  1.0000         6.765         6.205         5.890         5.511         5.506  
0.005  0.1300  3130.   -1.49   3.97   4.28  0.0000  1.0000         6.546         5.976         5.669         5.303         5.302  
0.005  0.1500  3163.   -1.42   3.98   4.58  0.0000  1.0000         6.361         5.783         5.483         5.129         5.133  
0.005  0.1750  3198.   -1.33   3.98   4.95  0.0000  1.0000         6.156         5.568         5.276         4.935         4.944  
0.005  0.2000  3225.   -1.26   3.98   5.29  0.0000  1.0000         5.985         5.390         5.102         4.771         4.784  
0.005  0.2500  3287.   -1.13   3.98   5.90  0.0000  1.0000         5.685         5.074         4.795         4.488         4.510  
0.005  0.3000  3345.   -1.02   3.98   6.45  0.0000  1.0000         5.437         4.812         4.541         4.253         4.284  
0.005  0.3500  3402.   -0.93   3.98   6.96  0.0000  1.0000         5.222         4.583         4.321         4.050         4.091  
0.005  0.4000  3455.   -0.84   3.98   7.45  0.0000  1.0000         5.023         4.371         4.118         3.865         3.915  
0.005  0.4500  3495.   -0.77   3.98   7.87  0.0000  0.9990         4.865         4.203         3.956         3.717         3.774  
0.005  0.5000  3538.   -0.70   3.98   8.32  0.0000  0.9970         4.709         4.038         3.797         3.572         3.636  
0.005  0.5700  3588.   -0.62   3.98   8.85  0.0000  0.9880         4.533         3.852         3.620         3.410         3.482  
0.005  0.6000  3608.   -0.59   3.99   9.08  0.0000  0.9820         4.462         3.777         3.548         3.344         3.419  
0.005  0.6200  3623.   -0.57   3.98   9.24  0.0000  0.9760         4.411         3.722         3.496         3.298         3.375  
0.005  0.7000  3678.   -0.50   3.99   9.77  0.0000  0.9360         4.240         3.540         3.325         3.144         3.229  
0.005  0.7500  3709.   -0.45   3.99  10.09  0.0000  0.9230         4.143         3.438         3.229         3.057         3.146  
0.005  0.8000  3745.   -0.41   3.99  10.39  0.0000  0.9210         4.050         3.340         3.137         2.976         3.070  
0.005  0.8500  3779.   -0.37   4.00  10.65  0.0000  0.9270         3.968         3.255         3.058         2.907         3.005  
0.005  0.9000  3815.   -0.34   4.00  10.88  0.0000  0.9360         3.893         3.177         2.987         2.845         2.947  
0.005  0.9500  3852.   -0.30   4.00  11.22  0.0000  0.9490         3.794         3.077         2.892         2.760         2.866  
0.005  1.0000  3890.   -0.26   4.01  11.45  0.0000  0.9570         3.717         2.999         2.820         2.697         2.806  
0.005  1.0500  3977.   -0.20   4.00  11.75  0.0000  0.9660         3.588         2.876         2.711         2.606         2.724  
0.005  1.1000  4035.   -0.16   4.01  11.93  0.0000  0.9680         3.505         2.802         2.645         2.549         2.670  
0.005  1.1500  4078.   -0.13   4.01  12.14  0.0000  0.9710         3.430         2.735         2.584         2.494         2.615  
